"Broken Hearted Blues","blu"
"Brother Can You Spare A Dime","blu"
"Brother Can You Spare A Dime","agz"
"Brothers Of The Bottom Row","nr3"
"Brown Gold","lib"
"Brown Skin Girl","rb2"
"Brown Sugar","agz"
"Brownie Speaks","jlt"
"Brownout","rb1"
"Bruca Manigua","lrb"
"Bruh Slim","jlt"
"Bruh Slim","tob"
"Brussels In The Rain","cub"
"Bud Powell","nr3"
"Bud Powell","rb3"
"Buddy Boldens Blues","blu"
"Buddy Boldens Blues","agz"
"Buddys Habits","agz"
"Budo","agz"
"Budo","jfk"
"Budo","rb2"
"Budo","lib"
"Buds Blues","jfk"
"Buds Blues","lib"
"Buds Blues","rb3"
"Buds Bubble","lib"
"Buds Bubble","rb2"
"Buds Idea","jlt"
"Bugle Boy March","agz"
"Bugle Call Rag","agz"
"Buhainas Delight","jlt"
"Building Bridges","lrb"
"Built For Comfort","blu"
"Bulldog Blues","lib"
"Bullet Train","hlr"
"Bunko","lib"
"Bunko","rb2"
"Bunny","lib"
"Bunny Berigan","tbk"
"Bus Delight","nr3"
"Busch-Wacked","rb3"
"Buster Rides Again","rb2"
"Busters Last Stand","hlr"
"Bustin Chops","col"
"Busy Bs","jlt"
"But Beautiful","jfk"
"But Beautiful","nr1"
"But Beautiful","rb1"
"But Not For He","rb2"
"But Not For Me","col"
"But Not For Me","tbk"
"But Not For Me","tob"
"But Not For Me","srb"
"But Beautiful","agz"
"But Not For Me","agz"
"Butch And Butch","jlt"
"Butterfly","nr3"
"Butterfly","rb1"
"Button Up Your Overcoat","jfk"
"Button Up Your Overcoat","agz"
"Buzzy","jfk"
"Buzzy","rb3"
"Buzzy ","agz"
"Buzzy","lib"
"By Myself","rb3"
"By The Beautiful Sea","agz"
"By The Light Of The Silvery Moon","agz"
"By The River Sainte Marie","agz"
"By The Waters Of Minnetonka","agz"
"Bye-Ya","jlt"
"Bye Bye Baby","rb3"
"Bye Bye Blackbird","col"
"Bye Bye Blackbird","jfk"
"Bye Bye Blackbird","rb2"
"Bye Bye Blackbird","tbk"
"Bye Bye Blackbird","tob"
"Bye Bye Blackbird","nr2"
"Bye Bye Blues","jfk"
"Bye And Bye","agz"
"Bye Bye Blackbird","agz"
"Bye Bye Blues","agz"
"Byrd Like","hlr"
"Byrdlike","rb2"
"C.C. Rider","jfk"
"C.T.A.","jlt"
"C7 Mambo","tbk"
"CIA","jlt"
"C Jam Blues","rb2"
"C Minor Blues Chase","ebk"
"C T A","tob"
"C Jam Blues","agz"
"Ca Cest LAmour","tbk"
"Cabaret","tbk"
"Cachita","lrb"
"Cady And Carole","jlt"
"Cafe","nr2"
"Cairo","lib"
"Cake Walking Babies From Home","hlr"
"Cakewalking Babies From Home","agz"
"Calculadora","cub"
"Caldonia","agz"
"Caldonia","jfk"
"California Here I Come","agz"
"Call For All Demons","rb1"
"Call Me Irresponsible","hlr"
"Call Me Darling","agz"
"Call Me Irresponsible","agz"
"Call Of The Freaks","agz"
"Calypso (Rhythm)","tbk"
"Camaleon","lrb"
"Camina Y Prende El Fogon","lrb"
"Camp Meeting Blues","agz"
"Canadian Sunset","agz"
"Canadian Capers","agz"
"Canal Street Blues","agz"
"Canal Street Blues","blu"
"Cancion Para Un Festival","cub"
"Candy","jfk"
"Candy Lips","agz"
"Cannonball","hlr"
"Cannonball Blues","agz"
"Cant Help Lovin Dat Man","blu"
"Cant Help Lovin Dat Man","jfk"
"Cant Smile Without You","tbk"
"Cant Stop Lovin","blu"
"Cant Stop The Wind","nr3"
"Cant Take You Nowhere","hlr"
"Cant We Be Friends","rb2"
"Cant We Be Friends","tob"
"Cant Help Lovin Dat Man","agz"
"Cant We Be Friends","agz"
"Cantalope Island","hlr"
"Cantaloupe Island","col"
"Cantelope Island","jlt"
"Canyon Song","rb1"
"Cape Verdean Blues (The)","jfk"
"Capim","nr2"
"Captain Ahab","lib"
"Captain Fingers","hlr"
"Captain Marvel","rb1"
"Capullito De Aleli","lrb"
"Caravan","agz"
"Caravan","col"
